Datetime,username,tweets,emotions
5/6/2021,lwotmalaysia,throwback to better times and awesome memories  lets stay home do our part stop the spread  we cant wait to do this with you all over again  sunway lost world of tambun  awesome moments  state of play ,happy
5/6/2021,____eizurumajin,page   happy  saturday twittahhhh  semoga  allah lindungi kita semua  stay at home  stay safe  lets break the chain ,happy
5/6/2021,smartkarma,one year ago  charles  macgregor of  lucror  analytics appeared on our  insight conference to share his view of credit markets during the first waves of  covid  watch the full session here and stay tuned for our next catchup with the  lucror team  ,happy
5/6/2021,petotum,one of many challenges to work from home during lockdown  stay strong pet parents pawer ,happy
5/6/2021,AvisMalaysia,world  environment  day is observed on the th of  june every year since   let us do our small bit to make the world a cleaner and healthier place by planting more trees  wishing you a very  happy  world  environment  day  stay safe and stay at home ,happy
4/6/2021,CannonRants,people ard me can tell more than my parents lol  i stay home see your face i also sian  always provoke me,happy
4/6/2021,nazx_rules,hahahaha lols laa nadpape pun stay at home and stay safe nad,happy
4/6/2021,Tobeorn04898361,lock up the owners of the companies in jail as to pay fine for them is just fine as they can make the money back when they force their staff to kerja especially the manufacturing sectors  stay home tak nak so let them stay in jail  this would be a better deterrent,happy
4/6/2021,mochishow__,hi  thank you for the giveaway  i hope yr given a good health hoping to win  stay at home and stay safe ,happy
4/6/2021,annurrr__,salam hi dear  done  kita doakan semoga awak bertiga sentiasa diberi kesihatan yang lebih baik dipermudahkan urusan dan dimurahkan rezeki amiin   keep safe stay at home  take care ladies ,happy
4/6/2021,LimSiChing,stay home stay safe  dont allow consumers to purchase alcohol drinks via delivery is plain stupid  we only need  store keeper to jaga the alcohol drink store,happy
4/6/2021,aanqil,had talk with a friend  months no salary due to lockdown had to stay home  company dont want to take the risk staff had to bear the consequences  tough time worst than last year ,happy
4/6/2021,waizhai,although fmco has been implemented few days ago yet more and more of my close family and friends are infected with  covid  shall we just stay home and be good boys  im just pity the elderly and kids who stay home but still get infected from those who go out ,happy
4/6/2021,pejuanitamuda,as a responsible citizens we should also play our part in the community by staying at home  stay healthy  with the loop holes in  sop we are here to consistently exhorted  kerajaan gagal to be more proactive  diligent to curb this pandemic from spreading,happy
4/6/2021,PakhrinSuresh1,               be safe corona stay home stay healthy ,happy
4/6/2021,GODDESS72Ravi,sunita hare hare  mahadev   shivaya  namaha its wonderful temple to visit specially at night time bring a ghee lights together turning a temple for few time also a silent temple place peaceful for mind these are the  god wants from us but now is lock down season stay at the home,happy
4/6/2021,selangorfc,yes we all may be sliding into the weekend  however please stay home  stay safe kita adalah satu  years  creating a legacy  friday feelin ,happy
4/6/2021,aliamirrazali,hey stupid  who does not recommend public sanitization   dont wanna listen  then listen to  your p ms  special  advisor on  public  health   stay as a  pol sec  let the specialist do their job ,happy
4/6/2021,euhphd,wtf is wrong with my parents sia i go out once in a while only i work almost everyday my rest day i stay home what ffs go work got problem go out for a day also problem kimak,happy
4/6/2021,YayasanMSU,enjoy the weekend  stay home and stay safe ,happy
4/6/2021,CapitaLand,still not sure how to keep the kids occupied during the school holidays  check out our  inside articles here for some baking and terrarium inspo we hope you spend this time with your loved ones and staysafe   ,happy
4/6/2021,zyberbeth1,mco   day  fellow people pls stay home to lessen the new cases   kindly cooperate  thanks,happy
4/6/2021,TimeOutSG,amp up your stayhome date night with these juicy slabs ,happy
4/6/2021,LamboPlace,mid year  shopathon is here  getting all your needs to stay at home more comfortable with  lambo place  check  out   lambo kini  mco  stay home  kita jaga kita ,happy
4/6/2021,KujaDiana,stay safe  stay homeeverning ,happy
4/6/2021,Najihaaaaaa,after  hours of am shift im home  the number of patients came to the hospital is increasing since pkpd kuantan started please everyone please help the frontliners by stay at home and avoid meeting people at the public stay safe everyone    ,happy
4/6/2021,skingrocermy,hi guys  just a reminder to stay safe and healthy  stay at home and if you must go out please adhere to the  so ps okay    mask  on   avoid crowded places   sanitize your hands often   shower right after you get home   hope we could break the chain together  ,happy
4/6/2021,niniehasniza, stay at home   thats what  i am doing right now since last  yearsnice and happy surrounded with people who i love ,happy
4/6/2021,litedotmy,stay safe and stay at home ,happy
4/6/2021,TheDrLipa,i feel like the brain cell of this person degraded over time during covid and fail to understand that everyone at this time is working from home to stay safe,happy
4/6/2021,jadinecalcosmo,hi  boss keep safe guys be careful my pandemic pa stay home if you can just go out if necessarily  james  reid  nadine  lustre  ja dine ,happy
4/6/2021,fudfid_forfr,stay home stay productive    ,happy
4/6/2021,cik_nis,we could have prevented this if only    prn  sabah was not done   earlier and strict lockdowns   industries are not opened   people stay at home diligently   imagine these people and more before them could still be alive if these measures were taken,happy
4/6/2021,irtaza_ik,please  keep  yourself  safe   stay  home and  save  lives   kongposh staysafe keepyourself keepyourselfalive staysafeathome stayhomemalaysia staystrong  genuine saffron saffronstoremalaysia ,happy
4/6/2021,WynNg12,serve them right they dont keep social distancing i actually wish those who not follow sop lock up instead of fine money   those who not follow sop let them take the penalty lah i still stay at home from th  may till now there are many like me too how long we have to stay,happy
4/6/2021,FatinNazirahh_,but im promise to stay at home and be a good and responsible person during this pandemic  sincerly me standwithkkm,happy
4/6/2021,Joonahlisa89,stay home  stay safe  stay w  seventeen  ,happy
4/6/2021,azmilsyahmi,stay  home  stay  safe   here my way of making  cappucino at home  and in future when we travel again  i can have my favourite freshly brewed cappucino anywhere   how to  make  cappuccino with a  moka  coffee  pot and  milk  frother  my  trave  via ,happy
4/6/2021,ngyokkeong,this defies the  law of  supply and  demand  sale of durians has tumbled and yet they are to cost more  well lets stay home and let them rot,happy
4/6/2021,RosyaRoslan,we can predict this actually  there will be an extension of the lockdown for another  weeks more  sebab apa  look at current lockdown tbh i dont feel we are in lockdown mood  everyone keluar mcm nothing happen aku dah risau dah bila dikira sebgai kontak kasualso stay home ,happy
4/6/2021,inthi09,good morning guys  have a safe day  stay home and protect everyone around you,happy
4/6/2021,PopularMalaysia,kota  kinabalu and  sandakan peeps our stores are open    stay safe stay home and shop with  order  pick   go service to arrange for home delivery or selfpickup  whats app us now at     or you can also shop with  popular online  ,happy
4/6/2021,hearty_beauty,assamualaikum selamat pagi semua  kes naik stay at home buat income dari rumah je  semoga berkurang wabak  covid   stay at home    stay safe   inshallah kitajagakita  allahjagakita semua tuhanjagakitasemua  aamiin ,happy
4/6/2021,ervinn,with the halfbaked lockdown we should add stay alive   stay safe stay home and stay alive ,happy
4/6/2021,Melluvchai,quick reminder   hantar kan undian anda utk  durja di carta muzik muzik  sebelum undian ditutup tepat jam  tengahari ini k  terima kasih semua   stay safe and stay at home    klik link dibawah untuk meng undi      ,happy
